Lambda,Strumien
481,98
483,106
485,111
487,117
489,124
492,132
494,144
496,165
498,208
500,315
502,548
504,2992
507,2288
508,4544
511,8768
513,16000
515,33060
517,58140
519,97280
522,149340
524,234630
526,334170
528,424230
530,516660
532,613830
535,722850
537,860310
539,981180
541,1071240
543,1147080
545,1187370
547,1218180
550,1258470
552,1275060
554,1284540
556,1301130
558,1294020
560,1308240
563,1296390
565,1305870
567,1294020
569,1296390
571,1286910
573,1265580
575,1265580
578,1246620
580,1234770
582,1215810
584,1203960
586,1175520
588,1166040
